Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 18:32,15.06,7.32,12.5,8.09,537,456
10/12/2014 18:35,15.05,7.34,12.5,8.09,537,458
10/12/2014 18:38,15.04,7.46,12.4,8.09,537,458
10/12/2014 18:41,15.04,7.38,12.3,8.09,537,459
10/12/2014 18:44,15.04,7.4,12.1,8.09,538,461
10/12/2014 18:47,15.04,7.48,12.2,8.09,538,462
10/12/2014 18:50,15.05,7.33,12.1,8.09,538,463
10/12/2014 18:53,15.05,7.33,12.1,8.09,538,464
10/12/2014 18:56,15.05,7.32,11.9,8.09,539,465
10/12/2014 18:59,15.04,7.46,11.9,8.09,539,466
10/12/2014 19:02,15.04,7.4,12,8.09,538,467
10/12/2014 19:05,15.04,7.33,11.6,8.09,508,468
10/12/2014 19:08,15.04,7.42,11.9,8.09,513,469
10/12/2014 19:11,15.04,7.45,11.8,8.1,518,470
10/12/2014 19:14,15.04,7.41,11.7,8.1,521,471
10/12/2014 19:17,15.04,7.31,11.6,8.1,523,472
10/12/2014 19:20,15.05,7.32,11.9,8.1,525,473
10/12/2014 19:23,15.04,7.37,11.7,8.09,527,474
10/12/2014 19:26,15.04,7.33,11.4,8.1,528,475
10/12/2014 19:29,15.05,7.29,11.4,8.1,529,477
10/12/2014 19:32,15.05,7.38,11.4,8.1,529,477
10/12/2014 19:35,15.05,7.37,11.6,8.1,530,478
10/12/2014 19:38,15.04,7.25,11.5,8.1,531,479
10/12/2014 19:41,15.04,7.35,11.5,8.1,517,479
10/12/2014 19:44,15.05,7.31,11.1,8.1,519,480
10/12/2014 19:47,15.04,7.33,11.1,8.1,522,481
10/12/2014 19:50,15.03,7.35,10.9,8.1,524,481
10/12/2014 19:53,15.03,7.43,11.1,8.11,525,482
10/12/2014 19:56,15.03,7.27,10.9,8.11,527,483
10/12/2014 19:59,15.03,7.32,11.1,8.11,528,483
10/12/2014 20:02,15.04,7.42,10.8,8.1,529,484
10/12/2014 20:05,15.04,7.3,10.8,8.1,530,485
10/12/2014 20:08,15.03,7.3,10.7,8.1,531,486
10/12/2014 20:11,15.03,7.19,10.8,8.11,531,486
10/12/2014 20:14,15.02,7.32,10.6,8.1,532,487
10/12/2014 20:17,15.03,7.3,10.9,8.11,532,488
10/12/2014 20:20,15.03,7.36,10.9,8.11,533,488
10/12/2014 20:23,15.04,7.31,10.7,8.11,533,489
10/12/2014 20:26,15.04,7.38,10.7,8.11,534,490
10/12/2014 20:29,15.05,7.37,10.5,8.11,534,490
10/12/2014 20:32,15.04,7.28,10.3,8.11,535,491
10/12/2014 20:35,15.04,7.34,10.4,8.11,535,491
10/12/2014 20:38,15.04,7.24,10.3,8.11,535,492
10/12/2014 20:41,15.04,7.3,10.2,8.1,536,493
10/12/2014 20:44,15.04,7.38,10,8.11,536,493
10/12/2014 20:47,15.04,7.33,10.1,8.11,536,494
10/12/2014 20:50,15.04,7.4,10.3,8.11,537,494
10/12/2014 20:53,15.04,7.37,10.4,8.11,537,495
10/12/2014 20:56,15.04,7.33,10.9,8.11,537,496
10/12/2014 20:59,15.04,7.3,10.4,8.11,538,496
10/12/2014 21:02,15.04,7.31,10,8.11,538,497
10/12/2014 21:05,15.04,7.38,9.8,8.11,538,497
10/12/2014 21:08,15.04,7.39,9.9,8.11,539,498
10/12/2014 21:11,15.04,7.2,9.8,8.11,539,499
10/12/2014 21:14,15.03,7.29,9.5,8.12,539,500
10/12/2014 21:17,15.03,7.35,9.6,8.12,539,500
10/12/2014 21:20,15.03,7.32,9.7,8.12,540,501
10/12/2014 21:23,15.03,7.24,9.5,8.11,540,502
10/12/2014 21:26,15.03,7.32,9.4,8.12,540,503
10/12/2014 21:29,15.02,7.32,9.2,8.12,541,503
10/12/2014 21:32,15.02,7.32,9.6,8.12,541,504
10/12/2014 21:35,15.02,7.39,9.9,8.12,541,505
10/12/2014 21:38,15.03,7.34,9.8,8.12,541,506
